idCampagna;impianto_id;tipo_originale;tipo_modello;zona_istat;lat;lon;formato;giorni;ots_giornalieri;ots_totali;reach_univoco;ic_low_95;ic_high_95;frequency_media;grp;copertura_pct;pct_18_34;pct_35_54;pct_55plus;avvisi
3;77985;N/D;billboard;015146;45,52;9,16;4X3;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77986;N/D;billboard;015146;45,50;9,19;4X3;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77987;N/D;billboard;015146;45,49;9,15;4X3;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77988;N/D;billboard;015146;45,45;9,22;4X3;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77989;N/D;billboard;015146;45,52;9,21;4X3;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77991;N/D;billboard;015146;45,52;9,21;4X3;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;77992;N/D;billboard;015146;45,49;9,22;4X3;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78023;N/D;billboard;015146;45,45;9,21;8X4;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78029;N/D;billboard;015146;45,48;9,25;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78030;N/D;billboard;015146;45,48;9,25;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78031;N/D;billboard;015146;45,48;9,25;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78032;N/D;billboard;015146;45,49;9,24;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78033;N/D;billboard;015146;45,49;9,25;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78034;N/D;billboard;015146;45,50;9,17;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78035;N/D;billboard;015146;45,50;9,17;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78036;N/D;billboard;015146;45,48;9,22;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78037;N/D;billboard;015146;45,48;9,22;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78038;N/D;billboard;015146;45,50;9,20;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78039;N/D;billboard;015146;45,50;9,20;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78040;N/D;billboard;015146;45,49;9,20;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78041;N/D;billboard;015146;45,49;9,20;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78042;N/D;billboard;015146;45,49;9,21;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78043;N/D;billboard;015146;45,49;9,21;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78044;N/D;billboard;015146;45,47;9,22;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78045;N/D;billboard;015146;45,47;9,22;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78046;N/D;billboard;015146;45,45;9,21;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78047;N/D;billboard;015146;45,50;9,17;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78048;N/D;billboard;015146;45,50;9,17;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78049;N/D;billboard;015146;45,49;9,25;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78050;N/D;billboard;015146;45,48;9,25;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78051;N/D;billboard;015146;45,48;9,25;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78052;N/D;billboard;015146;45,48;9,26;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78053;N/D;billboard;015146;45,48;9,26;80X250;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78054;N/D;billboard;015146;45,48;9,26;6X3;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78055;N/D;billboard;015146;45,46;9,15;6X3;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78056;N/D;billboard;015146;45,51;9,22;6X3;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78057;N/D;billboard;015146;45,49;9,22;6X3;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
3;78058;N/D;billboard;015146;45,46;9,24;6X3;14;15.266;213.718;101.265;82.055;120.428;2,11;55,60;26,36;29,00;38,30;32,60;target=18_34
4;77814;N/D;billboard;015027;45,55;9,14;6X3;14;484;6.781;3.143;2.558;3.720;2,16;64,10;29,70;29,00;38,30;32,60;target=18_34
4;77815;N/D;billboard;015213;45,61;9,09;100X140;14;484;6.781;2.454;2.096;2.766;2,76;164,50;59,54;29,00;38,30;32,60;target=18_34
4;77816;N/D;billboard;015213;45,62;9,09;100X140;14;484;6.781;2.454;2.096;2.766;2,76;164,50;59,54;29,00;38,30;32,60;target=18_34
